,ticker,name,sector
407,RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
408,CRM,Salesforce.com,Information Technology
409,SBAC,SBA Communications,Real Estate
410,SLB,Schlumberger Ltd.,Energy
411,STX,Seagate Technology,Information Technology
412,SEE,Sealed Air,Materials
413,SRE,Sempra Energy,Utilities
414,SHW,Sherwin-Williams,Materials
415,SPG,Simon Property Group Inc,Real Estate
416,SWKS,Skyworks Solutions,Information Technology
417,SLG,SL Green Realty,Real Estate
418,SNA,Snap-on,Industrials
419,SO,Southern Co.,Utilities
420,LUV,Southwest Airlines,Industrials
421,SPGI,"S&P Global, Inc.",Financials
422,SWK,Stanley Black & Decker,Industrials
423,SBUX,Starbucks Corp.,Consumer Discretionary
424,STT,State Street Corp.,Financials
425,SYK,Stryker Corp.,Health Care
426,STI,SunTrust Banks,Financials
427,SIVB,SVB Financial,Financials
428,SYMC,Symantec Corp.,Information Technology
429,SYF,Synchrony Financial,Financials
430,SNPS,Synopsys Inc.,Information Technology
431,SYY,Sysco Corp.,Consumer Staples
432,TROW,T. Rowe Price Group,Financials
433,TTWO,Take-Two Interactive,Communication Services
434,TPR,"Tapestry, Inc.",Consumer Discretionary
435,TGT,Target Corp.,Consumer Discretionary
436,TEL,TE Connectivity Ltd.,Information Technology
437,FTI,TechnipFMC,Energy
438,TFX,Teleflex Inc,Health Care
439,TXN,Texas Instruments,Information Technology
440,TXT,Textron Inc.,Industrials
441,TMO,Thermo Fisher Scientific,Health Care
442,TIF,Tiffany & Co.,Consumer Discretionary
443,TWTR,"Twitter, Inc.",Communication Services
444,TJX,TJX Companies Inc.,Consumer Discretionary
445,TMK,Torchmark Corp.,Financials
446,TSS,Total System Services,Information Technology
447,TSCO,Tractor Supply Company,Consumer Discretionary
448,TDG,TransDigm Group,Industrials
449,TRV,The Travelers Companies Inc.,Financials
450,TRIP,TripAdvisor,Communication Services
451,FOXA,Twenty-First Century Fox Class A,Communication Services
452,FOX,Twenty-First Century Fox Class B,Communication Services
453,TSN,Tyson Foods,Consumer Staples
454,UDR,UDR Inc,Real Estate
455,ULTA,Ulta Beauty,Consumer Discretionary
456,USB,U.S. Bancorp,Financials
457,UAA,Under Armour Class A,Consumer Discretionary
458,UA,Under Armour Class C,Consumer Discretionary
459,UNP,Union Pacific,Industrials
460,UAL,United Continental Holdings,Industrials
461,UNH,United Health Group Inc.,Health Care
462,UPS,United Parcel Service,Industrials
463,URI,"United Rentals, Inc.",Industrials
464,UTX,United Technologies,Industrials
465,UHS,"Universal Health Services, Inc.",Health Care
466,UNM,Unum Group,Financials
467,VFC,V.F. Corp.,Consumer Discretionary
468,VLO,Valero Energy,Energy
469,VAR,Varian Medical Systems,Health Care
470,VTR,Ventas Inc,Real Estate
471,VRSN,Verisign Inc.,Information Technology
472,VRSK,Verisk Analytics,Industrials
473,VZ,Verizon Communications,"Communication Services
"
474,VRTX,Vertex Pharmaceuticals Inc,Health Care
475,VIAB,Viacom Inc.,Communication Services
476,V,Visa Inc.,Information Technology
477,VNO,Vornado Realty Trust,Real Estate
478,VMC,Vulcan Materials,Materials
479,WAB,Wabtec Corporation,Industrials
480,WMT,Walmart,Consumer Staples
481,WBA,Walgreens Boots Alliance,Consumer Staples
482,DIS,The Walt Disney Company,Communication Services
483,WM,Waste Management Inc.,Industrials
484,WAT,Waters Corporation,Health Care
485,WEC,Wec Energy Group Inc,Utilities
486,WCG,WellCare,Health Care
487,WFC,Wells Fargo,Financials
488,WELL,Welltower Inc.,Real Estate
489,WDC,Western Digital,Information Technology
490,WU,Western Union Co,Information Technology
491,WRK,WestRock,Materials
492,WY,Weyerhaeuser,Real Estate
493,WHR,Whirlpool Corp.,Consumer Discretionary
494,WMB,Williams Cos.,Energy
495,WLTW,Willis Towers Watson,Financials
496,WYNN,Wynn Resorts Ltd,Consumer Discretionary
497,XEL,Xcel Energy Inc,Utilities
498,XRX,Xerox,Information Technology
499,XLNX,Xilinx,Information Technology
500,XYL,Xylem Inc.,Industrials
501,YUM,Yum! Brands Inc,Consumer Discretionary
502,ZBH,Zimmer Biomet Holdings,Health Care
503,ZION,Zions Bancorp,Financials
504,ZTS,Zoetis,Health Care
